,diravg,dirmax,dmgarea,dmgmoney,exintgtm,extingdt,humidcurr,humidmin,humidrel,ocurcause,ocurdo,ocurdt,ocuremd,ocurgm,ocurjibun,ocurri,ocursgg,ocuryoil,ownersec,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax
4848,S, ,0.9,2279,145,200202011535,0.0,0.0,26.0,농산부산물소각,전남,200202011350,묘도,전남,산7, ,여수,금,사,9.0,6,0.0,0.0,8.3,2.7,0.0
4849,NE, ,0.1,0,33,200201311335,0.0,0.0,18.0,담배불실화추정,울산,200201311302,청량,울산,산300,율,울주,목,사,14.0,5,0.0,0.0,4.8,1.8,0.0
4850,NW, ,0.3,809,130,200201131500,0.0,0.0,45.0,입산자실화추정,경남,200201131330,삼랑진,경남,산180-3,숭진,밀양,일,사,2.0,6,0.0,0.0,12.6,2.0,0.0
4851,NE, ,0.3,150,420,200201130730,0.0,0.0,66.0,방화추정,전남,200201130310,주삼,전남,산1-1, ,여수,일,사,2.1,31,0.0,0.0,10.5,2.1,0.0
4852,W, ,3.8,10248,305,200201111515,0.0,0.0,34.0,농산부산물소각,전남,200201111210,주삼,전남,산75-1, ,여수,금,사,2.1,29,0.0,0.0,11.4,6.5,0.0
4853,SW, ,0.5,10,110,200201090630,0.0,0.0,34.0,주택화재,강원,200201090520,성산,강원,산73-1,금산,강릉,수,사,0.7,2,0.0,0.0,-4.9,6.9,0.0
4854,WNW, ,0.5,300,125,200201082100,0.0,0.0,40.0,입산자실화추정,부산,200201081935,화명,부산,산48, ,북,화,사,1.0,1,0.0,0.0,-0.5,7.7,0.0
4855,NW, ,0.15,241,140,200201081050,0.0,0.0,32.0,고압선단선,경북,200201080910,기성,남부,산49-5,사동,울진,화,국,0.5,1,0.0,0.0,-4.7,3.4,0.0
4856,WNW, ,1.0,3000,119,200201071642,0.0,0.0,36.0,입산자실화추정,부산,200201071523,용호,부산,산207, ,남,월,사,1.4,13,0.0,0.0,5.2,9.0,0.0
4857,SE, ,0.01,0,25,200201061340,0.0,0.0,35.0,입산자실화추정,경북,200201061315,개령,경북,산1,덕촌,김천,일,사,0.8,7,0.0,0.0,3.7,0.7,0.0
4858,WNW, ,0.2,539,30,200201050230,0.0,0.0,47.0,입산자실화추정,경북,200201050200,초전,경북,산19,용성,성주,토,사,0.8,6,0.0,0.0,6.0,3.8,0.0
4859,NNW, ,0.3,809,55,200201031740,0.0,0.0,37.0,담배불실화,경남,200201031645,청암,경남,산55-1,명호,하동,목,사,2.0,21,0.0,0.0,3.6,5.0,0.0
4860,WNW, ,0.13,5400,27,200201031545,0.0,0.0,23.0,쓰레기소각,부산,200201031518,일광,부산,산219-1,용천,기장,목,사,1.4,10,0.0,0.0,3.8,4.0,0.0
4861,W, ,0.02,30,140,200201030600,0.0,0.0,33.0,입산자실화추정,부산,200201030420,반송,부산,산51-124, ,해운대,목,사,1.4,10,0.0,0.0,-6.0,2.8,0.0
4862,NW, ,2.0,5400,206,200201021900,0.0,0.0,19.0,어린이불장난추정,부산,200201021654,괴정,부산,산18-1, ,사하,수,사,1.4,8,0.0,0.0,-1.0,6.9,0.0
4863,WNW, ,1.65,4455,305,200201021710,0.0,0.0,22.0,담배불실화추정,부산,200201021405,좌,부산,산1-1, ,해운대,수,사,1.4,8,0.0,0.0,1.1,5.3,0.0
4864,WNW, ,0.1,270,19,200201021115,0.0,0.0,28.0,담배불실화추정,부산,200201021056,두구,부산,산20-7, ,금정,수,사,1.4,8,0.0,0.0,-0.8,5.9,0.0
4865,SSE, ,0.1,270,100,200201011410,0.0,0.0,27.0,음식점 숯불실화,경남,200201011310,유산,경남,산4, ,양산,화,사,5.5,19,0.0,0.0,4.5,6.0,0.0
4866,NW, ,0.03,90,38,200112290345,0.0,0.0,37.0,담뱃불실화추정,부산,200112290307,망미,부산,산7-2, ,수영,토,사,1.4,4,0.0,0.0,1.6,3.8,0.0
4867,NW, ,0.5,0,240,200112290200,0.0,0.0,70.0,입산자실화추정,대전,200112282320,대별,대전,산34, ,동,금,사,0.6,4,0.0,0.0,-2.5,1.3,0.0
4868,NW, ,0.03,0,150,200112282140,0.0,0.0,31.0,입산자실화추정,경북,200112281950,가산,경북,산49-1,금화,칠곡,금,사,3.0,16,0.0,0.0,1.7,0.7,0.0
4869,WNW, ,0.03,0,24,200112281327,0.0,0.0,26.0,입산자실화추정,서울,200112281303,신사,서울,산80-30, ,은평,금,사,5.5,16,0.0,0.0,1.8,2.3,0.0
4870,NNE, ,0.3,0,420,200112270240,0.0,0.0,66.0,입산자실화추정,경기,200112262220,장흥,경기,산25,일영,양주,수,사,3.9,9,0.0,0.0,-5.3,0.5,0.0
4871,N, ,0.18,540,212,200112241319,0.0,0.0,43.0,입산자실화추정,부산,200112241107,당감,부산,산34, ,부산진,월,사,2.2,11,0.0,0.0,3.4,5.2,0.0
4872,NNW, ,0.2,0,55,200112221310,0.0,0.0,28.0,입산자실화추정,울산,200112221215,온양,남부,산159-1,운화,울주,토,국,6.2,1,0.0,0.0,4.2,3.9,0.0
4873,N, ,0.16,500,40,200112220430,0.0,0.0,54.0,담뱃불실화추정,부산,200112220350,초읍,부산,산131, ,부산진,토,사,2.2,9,0.0,0.0,-0.4,6.8,0.0
4874,정온, ,0.2,0,315,200112210020,0.0,0.0,60.0,입산자실화추정,강원,200112202105,서,강원,산84-1,안보,춘천,목,사,4.4,8,0.0,0.0,-2.3,0.0,0.0
4875,N, ,0.07,178,105,200112200510,0.0,0.0,21.0,담뱃불실화추정,부산,200112200405,모라,부산,산72, ,사상,목,사,2.2,7,0.0,0.0,1.6,2.7,0.0
4876,ESE, ,2.9,2697,600,200112190410,0.0,0.0,57.0,입산자실화추정,충북,200112182210,음성,충북,산109,동음,음성,화,사,2.3,6,0.0,0.0,-8.3,1.9,0.0
4877,N, ,0.03,0,19,200112181852,0.0,0.0,32.0,담뱃불실화추정,서울,200112181833,방학,서울,산36-1, ,도봉,화,사,5.5,6,0.0,0.0,-3.1,2.8,0.0
4878,W, ,0.5,0,120,200112181750,0.0,0.0,20.0,입산자실화추정,경북,200112181630,안덕,경북,산57,감은,청송,화,사,2.0,6,0.0,0.0,3.4,6.2,0.0
4879,SE, ,0.1,270,35,200112181555,0.0,0.0,51.0,입산자실화추정,경북,200112181520,임하,경북,산119-4,천전,안동,화,사,2.2,6,0.0,0.0,22.9,1.2,0.0
4880,WSW, ,0.2,540,110,200112181325,0.0,0.0,27.0,입산자실화추정,경북,200112181215,문경,경북,산91,중평,문경,화,사,9.0,15,0.0,0.0,1.2,2.4,0.0
4881,WNW, ,0.1,270,41,200112171526,0.0,0.0,12.0,입산자실화추정,강원,200112171445,토성,강원,산136-1,신평,고성,월,사,0.7,18,0.0,0.0,4.9,2.8,0.0
