연번,명칭,높이(m),경도(E),위도(N)
325,성부산,321.6,129.1732194,35.7702861
326,탈바꿈산,235.1,129.1746917,35.7634083
327,무재당산,158.1,129.1796083,35.7547528
328,석갓산,87.9,129.1959139,35.7621833
329,국사봉,108.9,126.3500389,36.4458278
330,오로봉,117.9,126.4019889,36.3730722
331,당산,37.1,126.4411,36.3862694
332,범산,78.2,126.38695,36.3708278
333,증봉산,102.2,126.3926194,36.3697194
334,안산,77.8,126.4074,36.3666028
335,당산,59.1,126.4377389,36.3728361
336,당산,49.4,126.4313528,36.3646556
337,당산,72.7,126.45685,36.3571306
338,수월봉,78.0,126.1631083,33.2947694
339,조지산,226.7,126.5109639,35.4812667
340,할뫼,276.5,126.5306111,35.4898056
341,개이빨산,346.6,126.5568917,35.4906583
342,구황봉,297.9,126.5862194,35.4917528
343,화시봉,403.6,126.656375,35.48665
344,이상산,199.1,126.5374361,35.4705528
345,청룡산,315.0,126.555775,35.4658528
346,비학산,308.5,126.5776778,35.4657083
347,장사산,269.9,126.5056667,35.4368083
348,송림산,296.4,126.5258333,35.4348
349,한제산,211.3,126.5657944,35.4428778
350,망치산,109.1,126.5823472,35.4291306
351,고성봉,158.3,126.6435278,35.4493528
352,방장산,640.3,126.7383306,35.4481806
353,왕제산,153.0,126.5444556,35.4015833
354,태봉,111.9,126.6501306,35.42465
355,월봉산,112.7,126.599425,35.3934083
356,촛대봉,74.2,126.6220611,35.387025
357,삼태봉,197.8,126.6186306,35.3617694
358,구왕산,499.8,126.670825,35.3506528
359,추산봉,272.1,126.6625361,35.3707889
360,문수산,622.6,126.7260417,35.3709583
361,장자산,102.3,126.537075,35.3275389
362,고산,528.3,126.6464917,35.3289639
363,고성산,546.8,126.6386528,35.3077556
364,수련산,543.0,126.6935583,35.3089111
365,삼봉,127.5,126.7431111,35.305125
366,관람산,149.9,126.52025,35.2835889
367,성산,147.3,126.509325,35.2822639
368,월랑산,457.7,126.6114083,35.297375
369,팔암산,394.8,126.67165,35.284425
370,동구산,298.9,126.7086,35.2835167
371,물퇴봉,259.7,126.522475,35.267825
372,노인봉,254.9,126.5256417,35.2705778
373,장암산,484.3,126.5820972,35.2589722
374,태청산,593.4,126.6089667,35.270725
375,발옥산,271.5,126.6795083,35.274325
376,남산,270.6,126.5519556,35.4965778
377,선운산,334.7,126.5689861,35.498675
378,노적봉,206.9,126.5793333,35.489775
379,국사봉,72.2,126.6151556,35.4920111
380,치알봉,111.7,126.6123028,35.4944278
381,국기봉,273.4,126.5598278,35.4638361
382,지장제산,152.2,126.5697472,35.4506056
383,학산,195.8,126.604825,35.4550528
384,대맷산,119.4,126.5800333,35.4466056
385,삿갓산,165.6,126.5268028,35.3905667
386,옥녀봉,127.7,126.5338056,35.394925
387,태봉산,94.8,126.587875,35.3832528
388,촛불산,199.6,126.5142583,35.3621472
389,향로봉,469.5,126.7356278,35.3611083
390,검은산,189.7,126.5301,35.2544444
391,매봉산,147.1,126.5384083,35.2740833
392,천봉산,194.5,127.3444778,34.74255
393,용등산,40.7,127.2771444,34.7179861
394,월악산,253.0,127.3782194,34.7027
395,복호산,216.5,127.3388111,34.6806111
396,유영봉,503.0,127.43035,34.6280722
397,성주봉,554.9,127.4310417,34.6265833
398,생황봉,569.0,127.4308833,34.6260611
399,사자봉,581.8,127.4306333,34.6255806
400,오로봉,582.4,127.4305639,34.6253056
401,수덕산,300.9,127.2623667,34.6184139
402,봉황산,199.0,127.28555,34.6038778
403,주월산,291.0,127.2884722,34.6227778
404,운암산,484.3,127.3351639,34.6242083
405,팔영산,606.9,127.4364528,34.6171528
406,두류봉,598.7,127.4308778,34.6243667
